category,Niederschlag (6 bis 6 UTC)
Fr 01.12.,0
Sa 02.12.,1.5
So 03.12.,0.5
Mo 04.12.,1.8
Di 05.12.,1.7
Mi 06.12.,0.7
Do 07.12.,0
Fr 08.12.,2
Sa 09.12.,7.6
So 10.12.,9.3
Mo 11.12.,9.6
Di 12.12.,4.9
Mi 13.12.,1.9
Do 14.12.,0.2
Fr 15.12.,1
Sa 16.12.,0
So 17.12.,0
Mo 18.12.,0
Di 19.12.,9.4
Mi 20.12.,5.4
Do 21.12.,13.5
Fr 22.12.,11
Sa 23.12.,24
So 24.12.,6.9
Mo 25.12.,20.2
Di 26.12.,0.3
Mi 27.12.,0
Do 28.12.,0.1
Fr 29.12.,5.2
Sa 30.12.,0
So 31.12.,0.4
Mo 01.01.,2.2
Di 02.01.,17.3
Mi 03.01.,4.4
Do 04.01.,2.2
Fr 05.01.,1.3
Sa 06.01.,1.1
So 07.01.,0.1
Mo 08.01.,0
Di 09.01.,0
Mi 10.01.,0
Do 11.01.,0
Fr 12.01.,0.1
Sa 13.01.,2.5
So 14.01.,0.3
Mo 15.01.,0.9
Di 16.01.,0
Mi 17.01.,0
Do 18.01.,0
Fr 19.01.,0
Sa 20.01.,0
So 21.01.,0
Mo 22.01.,4.7
Di 23.01.,6.4
Mi 24.01.,0.5
Do 25.01.,0
Fr 26.01.,5.6
Sa 27.01.,0
So 28.01.,0
Mo 29.01.,0
Di 30.01.,0.4
Mi 31.01.,1.9